Sampling date,Site,Result,Site population,Notes
22/07/2020,Coombabah,Non-detect,238437,Reanalysed
22/07/2020,Elanora,Detect,65315,Reanalysed
22/07/2020,Loganholme,Detect,205541,Reanalysed
22/07/2020,Merrimac,Non-detect,151839,Reanalysed
22/07/2020,Pimpama,Detect,43595,Reanalysed
29/07/2020,Coombabah,Detect,238437,Reanalysed
29/07/2020,Elanora,Non-detect,65315,Reanalysed
29/07/2020,Loganholme,Detect,205541,Reanalysed
29/07/2020,Merrimac,Detect,151839,Reanalysed
29/07/2020,Pimpama,Non-detect,43595,Reanalysed
30/07/2020,Loganholme,Non-detect,205541,Reanalysed
31/07/2020,Goodna,Detect,79621,Reanalysed
31/07/2020,Loganholme,Detect,205541,Reanalysed
31/07/2020,Oxley Creek,Non-detect,231643,Reanalysed
1/08/2020,Loganholme,Non-detect,205541,Reanalysed
2/08/2020,Loganholme,Non-detect,205541,Reanalysed
3/08/2020,Bundamba,Non-detect,84942,Reanalysed
3/08/2020,Carole Park,Detect,9404,Reanalysed
3/08/2020,Coombabah,Detect,238437,Reanalysed
3/08/2020,Elanora,Detect,65315,Reanalysed
3/08/2020,Fairfield,Non-detect,13858,Reanalysed
3/08/2020,Gibson Island,Non-detect,198244,Reanalysed
3/08/2020,Goodna,Non-detect,79621,Reanalysed
3/08/2020,Loganholme,Detect,205541,Reanalysed
3/08/2020,Luggage Point,Detect,504529,Reanalysed
3/08/2020,Merrimac,Detect,151839,Reanalysed
3/08/2020,Oxley Creek,Non-detect,231643,Reanalysed
3/08/2020,Pimpama,Non-detect,43595,Reanalysed
3/08/2020,Sandgate,Non-detect,100673,Reanalysed
3/08/2020,Wacol,Detect,38072,Reanalysed
3/08/2020,Wynnum,Non-detect,35305,Reanalysed
4/08/2020,Cairns North,Non-detect,43924,Reanalysed
4/08/2020,Fairfield,Detect,13858,Reanalysed
4/08/2020,Loganholme,Non-detect,205541,Reanalysed
5/08/2020,Cairns South,Non-detect,47588,Reanalysed
5/08/2020,Coombabah,Detect,238437,Reanalysed
5/08/2020,Elanora,Detect,65315,Reanalysed
5/08/2020,Loganholme,Non-detect,205541,Reanalysed
5/08/2020,Merrimac,Detect,151839,Reanalysed
5/08/2020,Pimpama,Detect,43595,Reanalysed
5/08/2020,Sandgate,Detect,100673,Reanalysed
6/08/2020,Bundamba,Non-detect,84942,Reanalysed
6/08/2020,Gibson Island,Non-detect,198244,Reanalysed
6/08/2020,Loganholme,Detect,205541,Reanalysed
6/08/2020,Luggage Point,Detect,504529,Reanalysed
6/08/2020,Wynnum,Non-detect,35305,Reanalysed
7/08/2020,Carole Park,Non-detect,9404,Reanalysed
7/08/2020,Goodna,Non-detect,79621,Reanalysed
7/08/2020,Loganholme,Non-detect,205541,Reanalysed
7/08/2020,Oxley Creek,Detect,231643,Reanalysed
7/08/2020,Wacol,Non-detect,38072,Reanalysed
8/08/2020,Loganholme,Non-detect,205541,Reanalysed
9/08/2020,Loganholme,Detect,205541,Reanalysed
10/08/2020,Bundamba,Non-detect,84942,Reanalysed
10/08/2020,Gibson Island,Detect,198244,Reanalysed
10/08/2020,Loganholme,Non-detect,205541,Reanalysed
10/08/2020,Luggage Point,Non-detect,504529,Reanalysed
10/08/2020,Sandgate,Non-detect,100673,Reanalysed
10/08/2020,Wynnum,Non-detect,35305,Reanalysed
11/08/2020,Cairns North,Non-detect,43924,Reanalysed
11/08/2020,Cairns South,Non-detect,47588,Reanalysed
11/08/2020,Carole Park,Non-detect,9404,Reanalysed
11/08/2020,Coombabah,Non-detect,238437,Reanalysed
11/08/2020,Goodna,Detect,79621,Reanalysed
11/08/2020,Loganholme,Detect,205541,Reanalysed
11/08/2020,Oxley Creek,Non-detect,231643,Reanalysed
11/08/2020,Wacol,Non-detect,38072,Reanalysed
12/08/2020,Elanora,Non-detect,65315,Reanalysed
12/08/2020,Fairfield,Non-detect,13858,Reanalysed
12/08/2020,Loganholme,Non-detect,205541,Reanalysed
12/08/2020,Merrimac,Non-detect,151839,Reanalysed
12/08/2020,Pimpama,Non-detect,43595,Reanalysed
13/08/2020,Bundamba,Detect,84942,Reanalysed
13/08/2020,Loganholme,Non-detect,205541,Reanalysed
14/08/2020,Loganholme,Non-detect,205541,Reanalysed
15/08/2020,Loganholme,Non-detect,205541,Reanalysed
16/08/2020,Loganholme,Non-detect,205541,Reanalysed
17/08/2020,Coombabah,Non-detect,238437,Reanalysed
17/08/2020,Loganholme,Non-detect,205541,Reanalysed
17/08/2020,Pimpama,Non-detect,43595,Reanalysed
17/08/2020,Sandgate,Non-detect,100673,Reanalysed
18/08/2020,Cairns North,Non-detect,43924,Reanalysed
18/08/2020,Cairns South,Non-detect,47588,Reanalysed
18/08/2020,Fairfield,Non-detect,13858,Reanalysed
18/08/2020,Goodna,Detect,79621,Reanalysed
18/08/2020,Mackay South,Detect,61094,Reanalysed
18/08/2020,Maroochydore,Non-detect,92689,Reanalysed
18/08/2020,Wacol,Non-detect,38072,Reanalysed
19/08/2020,Bundamba,Non-detect,84942,Reanalysed
19/08/2020,Coombabah,Non-detect,238437,Reanalysed
19/08/2020,Elanora,Non-detect,65315,Reanalysed
19/08/2020,Goodna,Detect,79621,Reanalysed
19/08/2020,Merrimac,Non-detect,151839,Reanalysed
19/08/2020,Noosa,Non-detect,31842,Reanalysed
19/08/2020,Pimpama,Detect,43595,Reanalysed
19/08/2020,Wacol,Non-detect,38072,Reanalysed
20/08/2020,Cannonvale,Detect,8362,Reanalysed
20/08/2020,Sandgate,Non-detect,100673,Reanalysed
21/08/2020,Fairfield,Non-detect,13858,Reanalysed
21/08/2020,Gibson Island,Non-detect,198244,Reanalysed
21/08/2020,Luggage Point,Non-detect,504529,Reanalysed
21/08/2020,Wynnum,Non-detect,35305,Reanalysed
24/08/2020,Bundamba,Non-detect,84942,Reanalysed
24/08/2020,Carole Park,Non-detect,9404,Reanalysed
24/08/2020,Cleveland Bay,Non-detect,77595,Reanalysed
